DNI;Nombre;1r_Apellido;2n_Apellido;Telefono;Email;Clase;
44144771C;josepe;martinez;alarcon;621417319;34593@jjr.com;1rASIX;
62514419M;francisco;lopez;leon;607279597;11221@jjr.com;1rASIX;
73963100E;juan;sanchez;gallardo;633294699;55764@jjr.com;1rASIX;
64579914P;manuel;gonzalez;molina;622619497;79458@jjr.com;1rDAW;
97557087B;pedro;gomez;soto;607310032;93914@jjr.com;1rSMX;
72256939R;jesus;fernandez;lopez;679437261;55236@jjr.com;2nDAW;
30915465S;angel;moreno;orio;621466347;11976@jjr.com;2nASIX;
97840439A;miguel;jimenez;garcia;660316860;64633@jjr.com;2nDAM;
06694041Y;javier;perez;ortega;637306446;78375@jjr.com;1rDAW;
07850913R;miguel;hernandez;valero;611787948;69677@jjr.com;2nDAW;
45076240N;francisco;muñoz;cebrian;648694035;83236@jjr.com;2nDAW;
08142355X;rafael;saez;rodenas;662929903;78313@jjr.com;2nASIX;
54817434Q;daniel;romero;alarcon;657302386;39187@jjr.com;1rASIX;
09798360S;juan;rubio;blazquez;688709758;41878@jjr.com;1rDAW;
52730523X;luis;alfaro;nuñez;698360677;57439@jjr.com;2nDAW;
27791256B;pablo;molina;pardo;656956290;31582@jjr.com;2nDAW;
46559516H;juan;lozano;moya;625047529;73261@jjr.com;2nSMX;
86402786C;joaquin;castillo;tebar;672486950;29149@jjr.com;1rDAW;
57018231N;sergio;picazo;requena;623708766;62619@jjr.com;1rASIX;
34305751D;fernando;ortega;arenas;666529048;53149@jjr.com;1rDAW;
18990238N;juan;morcillo;ballesteros;610497218;36752@jjr.com;1rSMX;
41818828K;andres;cano;collado;628660763;56151@jjr.com;2nSMX;
90779892L;jose;marin;alfaro;648321765;97857@jjr.com;2nASIX;
12507403A;jose;cuenca;molina;674298668;47519@jjr.com;1rSMX;
70120582E;ramon;garrido;lozano;697082820;97727@jjr.com;1rDAW;
11674759M;raul;torres;castillo;604088933;99262@jjr.com;1rSMX;
34443858R;alberto;corcoles;picazo;644698140;47224@jjr.com;1rDAW;
66615127C;enrique;gil;ortega;699408053;32312@jjr.com;2nDAM;
86621958W;alvaro;ortiz;morcillo;646072972;89116@jjr.com;2nDAM;
87514672V;vicente;calero;cano;683544189;91864@jjr.com;2nDAW;
71410483Z;emilio;valero;marin;600949935;66259@jjr.com;1rDAM;
55659863R;francisco;cebrian;lopez;631765307;13695@jjr.com;1rASIX;
34684851T;diego;rodenas;sanchez;631394823;19677@jjr.com;1rASIX;
42673739E;julian;alarcon;gonzalez;686645022;19886@jjr.com;1rDAW;
15033566F;jorge;blazquez;gomez;629225313;85222@jjr.com;2nDAW;
57466006T;alfonso;nuñez;fernandez;692086143;37537@jjr.com;2nDAW;
08137411B;adrian;pardo;moreno;639726193;55496@jjr.com;1rSMX;
76075150M;ruben;moya;jimenez;696883270;77353@jjr.com;2nDAW;
44017529Z;santiago;tebar;perez;62925740;39895@jjr.com;1rDAW;
52382335L;ivan;requena;rodriguez;650013489;27679@jjr.com;2nDAM;
13734123H;juan;arenas;navarro;689704122;76887@jjr.com;1rSMX;
57902012H;pascual;ballesteros;ruiz;657442180;15694@jjr.com;1rSMX;
15270087L;jose;collado;diaz;625879662;65436@jjr.com;1rDAM;
25877613Z;mario;ramirez;serrano;675551921;76367@jjr.com;1rDAM;
38597622B;Marisela;alarcon;hernandez;618075194;31891@jjr.com;1rSMX;
88076852P;Julieta;leon;muñoz;616033538;63899@jjr.com;2nDAW;
92300391B;Pacífica;gallardo;saez;629541001;71168@jjr.com;1rASIX;
04203374D;Constanza;molina;romero;620800626;83724@jjr.com;1rSMX;
37452894Q;Cleto;soto;ballesteros;611979869;84582@jjr.com;2nDAM;
69458741Y;Diana;lopez;collado;673658939;35537@jjr.com;1rDAM;
92572187Q;Olalla;orio;ramirez;671487900;66994@jjr.com;2nASIX;
56730408B;Felicia;garcia;alarcon;628759336;73522@jjr.com;2nASIX;
02164996Y;Olga;ortega;leon;633245479;93815@jjr.com;1rDAM;
13121234X;jin;lin;;123432123;jinlin@gmail.com;1rSMX;
49813243G;Ricardo;Durán;Gallego;644151250;durangallego1@gmail.com;1rSMX;
49813243G;Ricardo;Durán;Gallego;644151250;54123@gmail.com;1rSMX;
