Nombre;1r_Apellido;2n_Apellido;Telefono;Email;Departamento;
sergio;rodriguez;fernandez;;sergiorodfer@jjr.com;SMX;
maria;dominguez;rubio;;mariadomrub@jjr.com;ASIX;
david;campos;leon;;davidcamleo@jjr.com;DAM;
jose;cortes;lozano;;josecorloz@jjr.com;DAW;
juan;carrasco;calvo;;juancarcal@jjr.com;SMX;
pepe;herrera;campos;;pepehercam@jjr.com;DAW;
olaf;soto;rojas;;olafsotroj@jjr.com;ASIX;
duna;cabrera;gallego;;dunacabgal@jjr.com;DAM;
jin;lin;quan;;q1161510618@gmail.com;SMX;
Javi;Vazquez;Baños;;javi@gmail.com;SMX;
Pepe;Rana;Marcopolo;;PepeMarco@gmail.com;SMX;
Otilio;Pelaez;Marcopolo;;Otilio@gmail.com;SMX;
oscar;perez;molina;;oscar@jjr.com;DAW;
